id	x	y	inslope	inaccel	expression	outslope	outaccel
1	193	1	0	0	linear()	0	0
1	221	1	0	0	linear()	0	0
1	248	2	0	0	linear()	0	0
1	278	3	0	0	linear()	0	0
1	363	4	0	0	linear()	0	0
1	383	12	0	0	linear()	0	0
1	415	5	0	0	linear()	0	0
1	442	5	0	0	linear()	0	0
1	470	6	0	0	linear()	0	0
1	500	6	0	0	linear()	0	0
1	527	5	0	0	linear()	0	0
1	554	5	0	0	linear()	0	0
1	583	6	0	0	linear()	0	0
1	608	6	0	0	linear()	0	0
1	648	7	0	0	linear()	0	0
1	668	14	0	0	linear()	0	0
1	684	6	0	0	linear()	0	0
1	711	5	0	0	linear()	0	0
1	746	8	0	0	linear()	0	0
1	777	9	0	0	linear()	0	0
1	804	8	0	0	linear()	0	0
1	832	7	0	0	linear()	0	0
1	857	10	0	0	linear()	0	0
1	937	3	0	0	linear()	0	0
1	993	4	0	0	linear()	0	0
1	1137	1	0	0	linear()	0	0
1	1163	1	0	0	linear()	0	0
1	1192	2	0	0	linear()	0	0
1	1220	3	0	0	linear()	0	0
1	1310	4	0	0	linear()	0	0
1	1360	5	0	0	linear()	0	0
1	1388	5	0	0	linear()	0	0
1	1415	6	0	0	linear()	0	0
1	1445	6	0	0	linear()	0	0
1	1470	5	0	0	linear()	0	0
1	1495	5	0	0	linear()	0	0
1	1525	6	0	0	linear()	0	0
1	1550	6	0	0	linear()	0	0
1	1580	7	0	0	linear()	0	0
1	1628	6	0	0	linear()	0	0
1	1664	6	0	0	linear()	0	0
1	1693	5	0	0	linear()	0	0
1	1719	6	0	0	linear()	0	0
1	1749	5	0	0	linear()	0	0
1	1775	6	0	0	linear()	0	0
1	1803	5	0	0	linear()	0	0
1	1831	3	0	0	linear()	0	0
1	1919	3	0	0	linear()	0	0
1	1962	4	0	0	linear()	0	0
